Time [s],Value,Parity Error,Framing Error
0.9131709000,0x00,,
0.9132569000,0x00,,
0.9133430000,0x00,,
0.9134290000,0x00,,
0.9135150000,0x00,,
0.9136010000,0x00,,
0.9136870000,0x00,,
0.9137731000,0x00,,
0.9138591000,0x00,,
0.9139451000,0x00,,
0.9140311000,0x00,,
0.9141172000,0x00,,
0.9142032000,0x00,,
0.9142892000,0x00,,
0.9143752000,0x00,,
0.9144612000,0x00,,
0.9145473000,0x00,,
0.9146333000,0x00,,
0.9147193000,0x00,,
0.9148054000,0x00,,
0.9148914000,0x00,,
0.9149774000,0x00,,
0.9150634000,0x00,,
0.9151495000,0x00,,
0.9152355000,0x00,,
0.9153215000,0x00,,
0.9154075000,0x00,,
0.9154935000,0x00,,
0.9155796000,0x00,,
0.9156656000,0x00,,
0.9157516000,0x00,,
0.9372482000,0xB6,,
0.9373342000,0x00,,
0.9374202000,0x00,,
0.9375062000,0x00,,
0.9375922000,0x06,,
0.9376783000,0x00,,
0.9377643000,0x00,,
0.9378503000,0x00,,
0.9379363000,0x32,,
0.9380223000,0x48,,
0.9381083000,0x10,,
0.9381943000,0x0C,,
0.9382804000,0xFF,,
0.9383664000,0xFF,,
0.9384524000,0xFF,,
0.9385384000,0xFF,,
0.9386244000,0x00,,
0.9387104000,0x00,,
0.9387964000,0x00,,
0.9388825000,0x00,,
0.9389685000,0x00,,
0.9390545000,0x00,,
0.9391405000,0x00,,
0.9392265000,0x00,,
0.9393125000,0x00,,
0.9393985000,0x00,,
0.9394845000,0x00,,
0.9395705000,0x00,,
0.9396566000,0x00,,
0.9397426000,0x00,,
0.9398286000,0x00,,
0.9399146000,0x00,,
0.9400006000,0x00,,
0.9400866000,0x00,,
0.9401726000,0x00,,
0.9402587000,0x00,,
0.9403447000,0x00,,
0.9404307000,0x00,,
0.9405167000,0x00,,
0.9406027000,0x00,,
0.9406887000,0x00,,
0.9407747000,0x00,,
0.9408608000,0x00,,
0.9409468000,0x00,,
0.9410328000,0x00,,
0.9411188000,0x00,,
0.9412048000,0x00,,
0.9412908000,0x00,,
0.9413768000,0x00,,
0.9414628000,0x00,,
0.9415488000,0x00,,
0.9416348000,0x00,,
0.9417208000,0x00,,
0.9418068000,0x00,,
0.9418928000,0x00,,
0.9419788000,0x00,,
0.9420648000,0x00,,
0.9421508000,0x00,,
0.9422369000,0x00,,
0.9423229000,0x00,,
0.9424089000,0x00,,
0.9424949000,0x00,,
0.9425809000,0x00,,
0.9426670000,0x00,,
0.9641638000,0xA9,,
0.9642498000,0x00,,
0.9643358000,0x00,,
0.9644219000,0x00,,
0.9645079000,0x08,,
0.9645939000,0x00,,
0.9646800000,0x00,,
0.9647660000,0x00,,
0.9648521000,0x7F,,
0.9649381000,0xFD,,
0.9650241000,0xFF,,
0.9651102000,0xFF,,
0.9651962000,0xFF,,
0.9652822000,0xFF,,
0.9653683000,0xFF,,
0.9654543000,0xFF,,
0.9655403000,0x00,,
0.9656264000,0x00,,
0.9657124000,0x00,,
0.9657984000,0x00,,
0.9658845000,0x00,,
0.9659705000,0x00,,
0.9660565000,0x00,,
0.9661425000,0x00,,
0.9662286000,0x00,,
0.9663146000,0x00,,
0.9664006000,0x00,,
0.9664867000,0x00,,
0.9665727000,0x00,,
0.9666587000,0x00,,
0.9667447000,0x00,,
0.9668307000,0x00,,
0.9669168000,0x00,,
0.9670028000,0x00,,
0.9670888000,0x00,,
0.9671748000,0x00,,
0.9672608000,0x00,,
0.9673469000,0x00,,
0.9674329000,0x00,,
0.9675189000,0x00,,
0.9676049000,0x00,,
0.9676910000,0x00,,
0.9677770000,0x00,,
0.9678630000,0x00,,
0.9679491000,0x00,,
0.9680351000,0x00,,
0.9681211000,0x00,,
0.9682072000,0x00,,
0.9682932000,0x00,,
0.9683792000,0x00,,
0.9684652000,0x00,,
0.9685513000,0x00,,
0.9686373000,0x00,,
0.9687233000,0x00,,
0.9688094000,0x00,,
0.9688954000,0x00,,
0.9689814000,0x00,,
0.9690674000,0x00,,
0.9691535000,0x00,,
0.9692395000,0x00,,
0.9693255000,0x00,,
0.9694116000,0x00,,
0.9694976000,0x00,,
0.9695836000,0x00,,
